CO_PAIS,NO_PAIS,NO_NACIONALIDADE
4,Afeganistão,Afegã
8,Albânia,Albanesa
10,Antártida,Antartida
12,Argélia,Argelina
16,Samoa Americana,Samoana
20,Andorra,Andorrana
24,Angola,Angolana
28,Antígua e Barbuda,Antiguana
31,Azerbaijão,Azerbaijana
32,Argentina,Argentina
36,Austrália,Australiana
40,Áustria,Austríaca
44,Bahamas,Baamiana
48,Bahrein,Baremita
50,Bangladesh,Bengali
51,Armênia,Arménia
52,Barbados,Barbadiana
56,Bélgica,Belga
60,Bermudas,Bermudenha
64,Butão,Butanesa
68,Bolívia,Boliviana
70,Bósnia e Herzegovina,Bosnia
72,Botswana,Botsuana
74,Ilha Bouvet,
76,Brasil,Brasileira
84,Belize,Belizenha
86,Território Britânico do Oceano Índico,
90,Ilhas Salomão,Salomônica
92,Ilhas Virgens Britânicas,
96,Brunei,Bruneana
100,Bulgária,Búlgara
104,Myanmar,Birmanesa
108,Burundi,Burundiana
112,Bielorrússia,Bielorrussa
116,Camboja,Cambojana
120,Camarões,Camaronesa
124,Canadá,Canadense
132,Cabo Verde,Cabo-verdiana
136,Ilhas Cayman,Caimanesa
140,República Centro-Africana,Centrafricano
144,Sri Lanka,Cingalesa
148,Chade,Chadiense
152,Chile,Chilena
156,China,Chinesa
158,República da China,Chinesa
162,Ilhas Natal,
166,Ilhas Cocos (Keeling),
170,Colômbia,Colombiana
174,Comores,Comorense
175,Mayotte,Maiotense
178,República do Congo,Congolesa
180,República Democrática do Congo,Congolesa
184,Ilhas Cook,Cookense
188,Costa Rica,Costa-riquenha
191,Croácia,Croata
192,Cuba,Cubana
196,Chipre,Cipriota
203,República Tcheca,Tcheca
204,Benim,Beninesea
208,Dinamarca,Dinamarquesa
212,Dominica,Dominiquesa
214,República Dominicana,Dominicana
218,Equador,Equatoriana
222,El Salvador,Salvadorenha
226,Guiné Equatorial,Guinéu-equatoriana
231,Etiópia,Etíope
232,Eritreia,Eritreu
233,Estônia,Estoniana
234,Ilhas Feroe,
238,Ilhas Malvinas,
239,Ilhas Geórgia do Sul e Sandwich do Sul,
242,Fiji,Fjiana
246,Finlândia,Finlandesa
248,Ilhas Aland,Alandesa
250,França,Francesa
254,Guiana Francesa,Franco Guianêsa
258,Polinésia Francesa,Polinésia
260,Terras Austrais e Antárticas Francesas,
262,Djibouti,Djibutiense
266,Gabão,Gabonesa
268,Geórgia,Georgiana
270,Gâmbia,Gambiana
275,Palestina,Palestina
276,Alemanha,Alemã
288,Gana,Ganesa
292,Gibraltar,Gibraltina
296,Kiribati,Quiribatiana
300,Grécia,Grega
304,Groenlândia,Groenlandesa
308,Granada,Granadina
312,Guadalupe,Guadalupense
316,Guam,Guamesa
320,Guatemala,Guatemalteca
324,Guiné,Guineana
328,Guiana,Guianense
332,Haiti ,Haitiana
334,Ilha Heard e Ilhas McDonald,
336,Vaticano,
339,Apátrida,Apatrida
340,Honduras,Hondurenha
344,Hong Kong,Honconguesa
348,Hungria,Húngara
352,Islândia,Islandesa
356,Índia ,Indiana
360,Indonésia,Indonésia
364,Irã,Iraniana
368,Iraque,Iraquiana
372,Irlanda,Irlandesa
376,Israel,Israelense
380,Itália,Italiana
384,Costa do Marfim,Marfiniana
388,Jamaica,Jamaicana
392,Japão,Japonesa
398,Cazaquistão,Cazaque
400,Jordânia,Jordaniana
404,Quénia,Queniana
408,Coreia do Norte,Norte-coreana
410,Coreia do Sul,Sul-Coreana
414,Kuwait ,Kuwaitiana
417,República Quirguiz,Quirguiz
418,Laos,Laociana
422,Líbano,Libanesa
426,Lesoto,Lesotiana
428,Letónia,Letã
430,Libéria,Liberiana
434,Líbia,Líbia
438,Liechtenstein,Liechtensteinense
440,Lituânia,Lituana
442,Luxemburgo,Luxemburguesa
446,Macau,Macaense
450,Madagáscar,Malgaxe
454,Malawi,Malauiana
458,Malásia,Malaia
462,Maldivas,Maldívia
466,Mali,Maliana
470,Malta,Maltesa
474,Martinica,Martinicana
478,Mauritânia,Mauritana
480,Maurícia,Mauriciana
484,México,Mexicana
492,Mônaco,Monegasca
496,Mongólia,Mongol
498,Moldávia,Moldávia
499,Montenegro,Montenegrina
500,Montserrat,Monserratense
504,Marrocos,Marroquina
508,Moçambique,Moçambicana
512,Omã,Omanense
516,Namíbia,Namibiana
520,Nauru,Nauruense
524,Nepal,Nepalesa
528,Holanda,Holandesa
530,Antilhas Holandesas,Antilhana
531,Curaçao,Curacaunse
533,Aruba,Arubana
534,Sint Maarten (Parte Holandesa),
535,"Bonaire, Saint Eustatius E Saba",Bonaire
540,Nova Caledónia,Neocaledônia
548,Vanuatu,Vanuatense
554,Nova Zelândia,Neozelandesa
558,Nicarágua,Nicaraguense
562,Níger,Nigerina
566,Nigéria,Nigeriana
570,Niue,Niuense
574,Ilha Norfolk,Norfolquiana
578,Noruega,Norueguesa
580,Ilhas Marianas do Norte,
581,Ilhas Menores Distantes dos Estados Unidos,
583,Estados Federados da Micronésia,Micronésia
584,Ilhas Marshall,Marshallina
585,Palau,Palauense
586,Paquistão,Paquistanesa
591,Panamá,Panamense
598,Papua-Nova Guiné,Papua
600,Paraguai,Paraguaia
604,Peru,Peruana
608,Filipinas,Filipina
612,Ilhas Pitcairn,
616,Polônia,Polonesa
620,Portugal,Portuguesa
624,Guiné-Bissau,Guineense
626,Timor-Leste,Timorense
630,Porto Rico,Porto-riquenha
634,Catar,Catariana
638,Réunion,
642,Roménia,Romena
643,Rússia,Russa
646,Ruanda,Ruandesa
652,São Bartolomeu,São-Bartolomense
654,Santa Helena,Santa-helenense
659,São Cristóvão e Nevis,
660,Anguilla,Anguilana
662,Santa Lúcia,Santa-lucense
663,Saint-Martin (Parte Francesa),São-Martinhense
666,São Pedro e Miquelão,
670,São Vicente e Granadinas,
674,San Marino,São-marinhense
678,São Tomé e Príncipe,Santomense
680,Sark,
682,Arábia Saudita,Saudita
686,Senegal,Senegalesa
688,Sérvia,Sérvia
690,Seicheles,
694,Serra Leoa,Serra-leonesa
702,Cingapura,Cingapurense
703,Eslováquia,Eslovaca
704,Vietnã,Vietnamita
705,Eslovênia,Eslovena
706,Somália,Somali
710,África do Sul,Sul-africana
716,Zimbábue,Zimbabuana
724,Espanha,Espanhola
728,Sudão Do Sul,
729,Sudão,Sudanesa
732,Saara Ocidental,Saráui
740,Suriname,Surinamense
744,Svalbard and Jan Mayen,
748,Suazilândia,Suazilandesa
752,Suécia,Sueca
756,Suíça,Suíça
760,Síria,Síria
762,Tajiquistão,Tajique
764,Tailândia,Tailandesa
768,Togo,Togolesa
772,Tokelau,
776,Tonga,Tonganesa
780,Trinidad e Tobago,Trinitina
784,Emirados Árabes Unidos,Emiriana
788,Tunísia,Tunisiana
792,Turquia,Turca
795,Turcomenistão,Turcomena
796,Turks e Caicos,Turco-caicense
798,Tuvalu,Tuvaluana
800,Uganda,Ugandesa
804,Ucrânia,Ucraniana
807,Macedônia,Macedônica
818,Egito,Egipcia
826,Reino Unido,Britância
830,Ilhas Do Canal,
831,Guernsey,Guernesiana
832,Jersey,Jersiana
833,Ilha de Man,Manesa
834,Tanzânia,Tanzaniana
840,Estados Unidos,Norte-Americana
850,Ilhas Virgens Americanas,
854,Burkina Faso,Burquinense
858,Uruguai,Uruguaia
860,Uzbequistão,Uzbeque
862,Venezuela,Venezuelana
876,Wallis e Futuna,Wallis-futunense
882,Samoa,Samoana
887,Iémen,Iemenita
894,Zâmbia,Zambiana
999,Outra Nacionalidade,